id,schema,name,species,breed,gender,birth_date,weight,color,photo_url,status,is_nfc_synced,known_allergies,default_vet,default_clinic,owners
69bba93958baacd6e229ab2e,1,Rocco,dog,French Bulldog,male,2021-06-21,12.0,Grey with white markings,https://firebasestorage.googleapis.com/v0/b/pets-health-info.firebasestorage.app/o/pets%2F2c13401b-0508-418e-bb01-659931f32b06.jpg?alt=media,healthy,True,None,Dr. Manuela Sandoval,Animals,[ObjectId('69b9e0da4ef470521b8998b7')]
69bc01c46fe1f51e3dec840d,1,Max,dog,terrier,male,2026-03-02,5.0,Brown,https://firebasestorage.googleapis.com/v0/b/pets-health-info.firebasestorage.app/o/pets%2F303b620d-99db-4c54-a9a3-426b36506c20.jpg?alt=media,healthy,False,,,,[ObjectId('69ba1b0d9fb75d164189e837')]
69bc2523a67959a84a0a6dae,1,Yacko,dog,Bichon Maltes,male,2014-12-11,6.0,White,https://firebasestorage.googleapis.com/v0/b/pets-health-info.firebasestorage.app/o/pets%2F69bc2523a67959a84a0a6dae%2Fphoto%2Fpet_1773968482668.jpg?alt=media&token=e2e7d4f6-3c99-4252-916c-95cf183b0589,healthy,False,,Dr. Maf,Colmillos,[ObjectId('69b994252ee87d7a734c9a67')]
69bc3a493a2568613150f8e1,1,gato invisible,cat,no se,male,2026-03-20,10.0,arcoiris,https://firebasestorage.googleapis.com/v0/b/pets-health-info.firebasestorage.app/o/pets%2Ff2e0b800-6478-4c05-8a1d-1bb52d8e046d.jpg?alt=media,healthy,False,,s,,[ObjectId('69bad2c678e8686ceac1f93d')]
69bc435ce33487765109815a,1,Kekapsljgpspapnfpspappalappakfkappqlflsppancpskfpwomwpsp,dog,ofkalpakxmdlffpapkfpdlskapjcpwkdpspe,female,2026-03-26,,jxklslalalallalalalal,https://firebasestorage.googleapis.com/v0/b/pets-health-info.firebasestorage.app/o/pets%2Fc41fec11-db59-4fa9-9655-13ef3eefb3be.jpg?alt=media,healthy,False,kflalapappapapakdkflcpf,mflxpslapappalapakdldpallaoa,mxldpslpalspapalpalapspw,[ObjectId('69bad2c678e8686ceac1f93d')]
69bc496f40ea34957595d3ec,1,Charlie,dog,Yorkshire Terrier,male,2018-02-26,6.2,"Gold, brown, black and white",https://firebasestorage.googleapis.com/v0/b/pets-health-info.firebasestorage.app/o/pets%2F69bc496f40ea34957595d3ec%2Fphoto%2Fpet_1774062303834.jpg?alt=media&token=defd630a-e01d-430e-890a-31f2226d8d6f,healthy,True,None,Dr. Perdomo,,[ObjectId('69bc48d940ea34957595d3eb')]
69bc7b76bdf6307bd05ea666,1,test,cat,bull,male,2026-03-27,4.0,cafe,,healthy,False,,el bro,,[ObjectId('69bad2c678e8686ceac1f93d')]
69bc7be1695f1af88d77eefa,1,ssss,cat,sssssss,female,2026-03-18,,sss,https://firebasestorage.googleapis.com/v0/b/pets-health-info.firebasestorage.app/o/pets%2F2c396d46-d767-4704-a302-ed8667805a3d.jpg?alt=media,healthy,False,,,,[ObjectId('69b8d8bda94011000b69d944')]
69bc7d52695f1af88d77eefb,1,aandroidx.compose.ui.unit.sp,dog,a,male,2026-03-09,,z,,healthy,False,,,,[ObjectId('69b8d8bda94011000b69d944')]
69bc824ccd1851f2ad801b72,1,test2,cat,test2,,2026-03-03,5.0,g,,healthy,False,,dr,,[ObjectId('69bad2c678e8686ceac1f93d')]
69bc9f8c57adce41b32f5032,1,lol,cat,lol,,2026-03-26,8.0,,https://firebasestorage.googleapis.com/v0/b/pets-health-info.firebasestorage.app/o/pets%2F4d1472c3-3240-412e-b5be-2b869e6ed8ed.jpg?alt=media,healthy,False,,,,[ObjectId('69bad2c678e8686ceac1f93d')]
69bcd82e094700f7b22a8b02,1,carlos,dog,pug,male,2026-03-01,5.0,blanco,https://firebasestorage.googleapis.com/v0/b/pets-health-info.firebasestorage.app/o/pets%2F5b34a8c7-c5c5-45c3-bdd4-37b29f8dfb40.jpg?alt=media,healthy,False,,,,[ObjectId('69bcb387094700f7b22a8a69')]
69bd6ee0982704c4111ddb1d,1,Canela,dog,Criollita,female,2019-05-24,16.0,Black,https://firebasestorage.googleapis.com/v0/b/pets-health-info.firebasestorage.app/o/pets%2Fc2af3bee-1113-4406-8709-8c5c4154e2a4.jpg?alt=media,healthy,False,None,Dr Smith,Happy Paw Clinic,[ObjectId('69bd6e98982704c4111ddb0e')]
69bd6f10be85fc47af7cf214,1,Bruna,dog,Border Collie,female,2026-03-27,,"ddkdkdkdkdkdkdkdkdkdsplpsl,CDs",https://firebasestorage.googleapis.com/v0/b/pets-health-info.firebasestorage.app/o/pets%2Fba1ab02b-eaac-412d-ba00-520f29ee1eee.jpg?alt=media,healthy,False,rrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,ssssssssssssssssssssssssssssssssssssssssssssssssssssssssssss,[ObjectId('69bd6e79be85fc47af7cf20e')]
69bd7ca9b6ffbf97beccf2d7,1,Buddy,cat,Whatever,female,2025-03-20,6.0,Golden,https://firebasestorage.googleapis.com/v0/b/pets-health-info.firebasestorage.app/o/pets%2F513e4ef2-5f45-463c-8219-375b9bf112fd.jpg?alt=media,healthy,False,,,,[ObjectId('69bd7c47b6ffbf97beccf2cb')]
69bd82a512023611fc4ef5e0,1,Vito,dog,Poodle,male,2026-01-14,3.0,Caramel,,healthy,False,,Dr. Munoz,,[ObjectId('69bd7ffd12023611fc4ef5d7')]
69bd8477b6ffbf97beccf371,1,Duraznito,dog,Golden,male,2026-02-18,6.6,jdksksjsjsjsksnskaksk,https://firebasestorage.googleapis.com/v0/b/pets-health-info.firebasestorage.app/o/pets%2Fd9faa1f4-2d4b-4326-a48a-f10d979de29a.jpg?alt=media,healthy,False,,jdjs,ksksksmdidlamdndjsk,[ObjectId('69bd7c47b6ffbf97beccf2cb')]
69bd8931e24dd546cd80fff2,1,kskskskdkdkalfkalsndjwismdndsl,cat,nakskfkskdkdkaldndkskzskkdkdsksksksksksk,male,2026-03-08,6161.0,jdjsjsjdisksks,https://firebasestorage.googleapis.com/v0/b/pets-health-info.firebasestorage.app/o/pets%2Ffb8b538d-0062-4bba-ab04-3eb06dc04e4a.jpg?alt=media,healthy,False,smalskdisksksk,inskskskskdksks,akakdksksksksk,[ObjectId('69bd7c47b6ffbf97beccf2cb')]
69bd89dee24dd546cd810015,1,kaksks,cat,dkkws,male,2026-03-15,64.0,djsjs,https://firebasestorage.googleapis.com/v0/b/pets-health-info.firebasestorage.app/o/pets%2Fc8a72e3a-2f55-40b8-848f-6af43745f3c3.jpg?alt=media,healthy,False,ksksksksk,ksksks,ksksjsjsj,[ObjectId('69bd7c47b6ffbf97beccf2cb')]
69bd8a4c07e4f899ef85c56a,1,victor,cat,calico,male,2024-03-01,10.0,calico,,healthy,False,,,,[ObjectId('69bcb387094700f7b22a8a69')]
69bd8d3ea777d43c76536fff,1,marina,cat,gris,female,2021-03-20,4.5555555555555554e+41,gris,,healthy,False,,,,[ObjectId('69bcb387094700f7b22a8a69')]
69bd9830e24dd546cd81005a,1,maksksk,cat,ksksksks,female,2026-03-11,6468646.0,kskaksmsksksskakksskakakakakak,,healthy,False,kakskskskskskaiskskskssksksksiaisidkskwksjdjejdjejdjdjdjdjdjdjdjdjdjdjdjejdjdjdjejdjekejejejejejejekejejejejej,kqksks,kaskqkaisialskskakakalalalskskskskskskslslslslslalakakalakkw,[ObjectId('69bd7c47b6ffbf97beccf2cb')]
69bdddca6f68e2757e2140df,1,Emma,dog,Border collie,female,2026-03-04,20.0,v,https://firebasestorage.googleapis.com/v0/b/pets-health-info.firebasestorage.app/o/pets%2F67836951-483c-4bba-9284-47047be09bb9.jpg?alt=media,healthy,False,,,,[ObjectId('69bd6e79be85fc47af7cf20e')]
69bdeca615287ff84f5ea7aa,1,g,cat,g,female,,,,,healthy,False,,,,[ObjectId('69bd6e79be85fc47af7cf20e')]
69bdecc115287ff84f5ea7b9,1,j,dog,j,male,,,,,healthy,False,,,,[ObjectId('69bd6e79be85fc47af7cf20e')]
69be03d1425ad3e01972ff8b,1,Pet 1,dog,Beagle,male,2019-03-30,10.0,Brown,https://firebasestorage.googleapis.com/v0/b/pets-health-info.firebasestorage.app/o/pets%2F69be03d1425ad3e01972ff8b%2Fphoto%2Fpet_1774060494669.png?alt=media&token=78980a32-c662-4deb-be79-701137960b21,healthy,True,None,Dr Dree,Paws,[ObjectId('69baa19cade87d8f92c07011')]
69be08ff8b0ee85e8b4d127d,1,Romeo,dog,Bulldog French,male,2016-03-20,12.0,Black and White,,healthy,True,None,None,Paws,[ObjectId('69be08c68b0ee85e8b4d127a')]
